Player,Team,GP,MPG,TS%,AST,TO,USG,ORR,DRR,REBR,PER,VA,EWA
Jameer Nelson, NO/DET,50,20.3,0.489,35.9,13.4,13.8,1.4,9.5,5.6,8.16,-43.1,-1.4
Joe Johnson, HOU/UTAH,55,21.9,0.49,16.2,9.6,13.8,1.3,14.7,8.1,8.12,-42.7,-1.4
Jason Terry, MIL,51,16,0.525,24.4,10.3,10.1,0.7,6.2,3.5,8.1,-29.2,-1
Wesley Iwundu, ORL,62,16.5,0.48,17.5,9.2,11.2,3.9,11,7.4,7.83,-40.7,-1.4
Kobi Simmons, MEM,32,20.1,0.49,21.8,14.1,17,2.5,6.6,4.5,7.73,-31.4,-1
Jerryd Bayless, PHI,39,23.7,0.546,14.2,12.1,14.6,1.8,7.3,4.7,7.58,-47.2,-1.6
Zach Collins, POR,66,15.8,0.475,12.5,13.9,14.7,4.7,18.2,11.5,7.56,-47.4,-1.6
Brandon Paul, SA,64,9,0.504,17.5,13.7,13.3,1.1,12,6.5,7.48,-26,-0.9
Terrance Ferguson, OKC,61,12.5,0.545,9.3,5.4,10,2.7,4.2,3.4,7.43,-35,-1.2
Patrick McCaw, GS,57,16.9,0.477,22.4,11.3,12.5,2,7.2,4.8,7.42,-44.1,-1.5
Jawun Evans, LAC,48,16.2,0.421,23.9,10.5,17.8,1.3,10.4,5.9,7.23,-43.8,-1.5
Dragan Bender, PHX,82,25.2,0.524,17.4,15,12.4,2,16.8,9.3,7.11,-135.7,-4.5
Frank Ntilikina, NY,78,21.9,0.437,27.4,14.4,17.5,2.4,9.1,5.8,7.11,-99.1,-3.3
Timothe Luwawu-Cabarrot, PHI,52,15.5,0.511,14,9.9,16.8,1.9,7.5,4.8,7.08,-41.2,-1.4
Lance Thomas, NY,73,18.5,0.513,11.7,10.9,10.3,3.6,10.7,7.2,6.33,-84.3,-2.8
DeAndre Liggins, NO/MIL,58,12.5,0.467,27.2,11.4,8.7,1.1,10.6,5.9,5.97,-49,-1.6
Arron Afflalo, ORL,53,12.9,0.516,13.4,9.4,11.9,0.6,10.1,5.3,5.85,-47.4,-1.6
Dwayne Bacon, CHA,53,13.5,0.431,14.4,8.7,13.3,0.6,18.5,9.4,5.84,-49.6,-1.7
Josh Huestis, OKC,69,14.2,0.417,8.4,11,9.1,4.6,13.9,9.1,5.39,-74.8,-2.5
Paul Zipser, CHI,54,15.2,0.445,13.8,12.9,14.6,1.6,16,8.5,5.24,-64.6,-2.2
Abdel Nader, BOS,48,10.9,0.439,11.5,15,16.2,2.8,12,7.4,5.14,-41.8,-1.4
Semi Ojeleye, BOS,73,15.8,0.473,8,10,8.4,3.6,11.6,7.7,4.57,-119,-4
Sean Kilpatrick, CHI/LAC/MIL/BKN,52,12.3,0.507,11.2,9.3,25.5,0,0,0,0,-100.3,-3.3
